domain,condition,model_seed,arm,evaluation_version,horizon,first_failures,failure_probability,survival_probability,failure_upper_bound,survival_lower_bound,family_size
toy,s4_rotated,,UNTRANSPORTED_4_4,v1-unchanged-finite-nonstochastic,32,248,0.484375,0.515625,0.5702015441705963,0.4297984558294037,875
toy,s4_rotated,,UNTRANSPORTED_4_4,v1-unchanged-finite-nonstochastic,64,404,0.7890625,0.2109375,0.853325907427278,0.14667409257272201,875
toy,s4_rotated,,UNTRANSPORTED_4_4,v1-unchanged-finite-nonstochastic,128,483,0.943359375,0.056640625,0.9748948548714479,0.02510514512855211,875
toy,s4_rotated,,UNTRANSPORTED_4_4,v1-unchanged-finite-nonstochastic,256,512,1.0,0.0,1.0,0.0,875
toy,s4_rotated,,UNTRANSPORTED_4_4,v1-unchanged-finite-nonstochastic,512,512,1.0,0.0,1.0,0.0,875
toy,s4_rotated,,UNTRANSPORTED_4_4,v1-unchanged-finite-nonstochastic,1024,512,1.0,0.0,1.0,0.0,875
toy,s4_rotated,,UNTRANSPORTED_4_4,v1-unchanged-finite-nonstochastic,2048,512,1.0,0.0,1.0,0.0,875
toy,s4_rotated,,MIXED_4_8,v1-unchanged-finite-nonstochastic,32,94,0.18359375,0.81640625,0.2566188034440683,0.7433811965559317,875
toy,s4_rotated,,MIXED_4_8,v1-unchanged-finite-nonstochastic,64,224,0.4375,0.5625,0.5236543601265523,0.4763456398734477,875
toy,s4_rotated,,MIXED_4_8,v1-unchanged-finite-nonstochastic,128,382,0.74609375,0.25390625,0.8158041910321991,0.18419580896780086,875
toy,s4_rotated,,MIXED_4_8,v1-unchanged-finite-nonstochastic,256,495,0.966796875,0.033203125,0.9892369511666314,0.01076304883336865,875
toy,s4_rotated,,MIXED_4_8,v1-unchanged-finite-nonstochastic,512,511,0.998046875,0.001953125,0.9999998883896746,1.1161032542617022e-07,875
toy,s4_rotated,,MIXED_4_8,v1-unchanged-finite-nonstochastic,1024,512,1.0,0.0,1.0,0.0,875
toy,s4_rotated,,MIXED_4_8,v1-unchanged-finite-nonstochastic,2048,512,1.0,0.0,1.0,0.0,875
toy,s4_rotated,,MIXED_6_8,v1-unchanged-finite-nonstochastic,32,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,MIXED_6_8,v1-unchanged-finite-nonstochastic,64,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,MIXED_6_8,v1-unchanged-finite-nonstochastic,128,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,MIXED_6_8,v1-unchanged-finite-nonstochastic,256,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,MIXED_6_8,v1-unchanged-finite-nonstochastic,512,17,0.033203125,0.966796875,0.0748224642139112,0.9251775357860887,875
toy,s4_rotated,,MIXED_6_8,v1-unchanged-finite-nonstochastic,1024,93,0.181640625,0.818359375,0.25443684873621125,0.7455631512637888,875
toy,s4_rotated,,MIXED_6_8,v1-unchanged-finite-nonstochastic,2048,232,0.453125,0.546875,0.5392529648073988,0.4607470351926012,875
toy,s4_rotated,,COEFFICIENT_INT8_FP32,v1-unchanged-finite-nonstochastic,32,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,COEFFICIENT_INT8_FP32,v1-unchanged-finite-nonstochastic,64,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,COEFFICIENT_INT8_FP32,v1-unchanged-finite-nonstochastic,128,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,COEFFICIENT_INT8_FP32,v1-unchanged-finite-nonstochastic,256,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,COEFFICIENT_INT8_FP32,v1-unchanged-finite-nonstochastic,512,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,COEFFICIENT_INT8_FP32,v1-unchanged-finite-nonstochastic,1024,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,COEFFICIENT_INT8_FP32,v1-unchanged-finite-nonstochastic,2048,5,0.009765625,0.990234375,0.03906064596896158,0.9609393540310385,875
toy,c31_moving_plane,,NATIVE_FP32,v1-unchanged-finite-nonstochastic,32,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,NATIVE_FP32,v1-unchanged-finite-nonstochastic,64,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,NATIVE_FP32,v1-unchanged-finite-nonstochastic,128,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,NATIVE_FP32,v1-unchanged-finite-nonstochastic,256,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,NATIVE_FP32,v1-unchanged-finite-nonstochastic,512,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
