model_seed,arm,period,metric,N_sequences,eligible_sample_writes,contributing_sequences,valid_sample_writes,mean_of_sequence_means,mean,median,minimum,maximum
2,LOWRANK_4_8_R2,before_first_failure,fp64_shadow_state_norm,32,7306,32,7306,796.145882384154,800.4516513080019,819.7555301738901,344.2683265427767,1140.012392629652
2,LOWRANK_4_8_R2,before_first_failure,state_scale_minimum,32,7306,32,7306,34.98143195050475,35.019264762394535,35.8918571472168,1.213397922583681e-06,69.73392486572266
2,LOWRANK_4_8_R2,before_first_failure,state_scale_maximum,32,7306,32,7306,196.0043827643803,200.60196471716847,188.09576416015625,80.8968734741211,600.6139526367188
2,LOWRANK_4_8_R2,before_first_failure,residual_scale_minimum,32,7306,32,7306,1.3518529558952919,1.361736324556154,1.2373386025428772,4.520762075799212e-08,5.367841720581055
2,LOWRANK_4_8_R2,before_first_failure,residual_scale_maximum,32,7306,32,7306,16.912713015782884,17.299956749473047,15.467097282409668,5.127854347229004,68.39051818847656
2,LOWRANK_4_8_R2,before_first_failure,self_writeback_mse,32,7306,32,7306,5.330483963385789,5.546921070328304,4.120081492164517,0.25113675878552155,38.80085182181512
2,LOWRANK_4_8_R2,before_first_failure,projection_leakage_mse,32,7306,32,7306,5.330436486502973,5.546871941383803,4.120034707616168,0.25112880410386285,38.80065360129269
2,LOWRANK_4_8_R2,before_first_failure,native_state_error_l2,32,7306,32,7306,979.1261669317747,1011.2105468120525,924.8441680872329,64.45603695828156,3341.651676940988
2,LOWRANK_4_8_R2,before_first_failure,native_state_error_mse,32,7306,32,7306,427.2369253921025,455.14916912377134,278.429939864857,1.3524025717341661,3634.972633464362
2,LOWRANK_4_8_R2,before_first_failure,fp64_shadow_error_l2,32,7306,32,7306,979.1261670338716,1011.2105465818903,924.8441733876197,64.45603765141986,3341.651673633488
2,LOWRANK_4_8_R2,before_first_failure,fp64_shadow_error_mse,32,7306,32,7306,427.2369253073552,455.1491687504326,278.42994305771566,1.3524026008207206,3634.9726262687145
2,LOWRANK_4_8_R2,before_first_failure,gold_margin,32,7306,32,7306,73.76647708885228,73.54871151313519,74.85528564453125,0.251181036233902,148.4021759033203
2,LOWRANK_4_8_R2,before_first_failure,top_two_margin,32,7306,32,7306,73.76647708885228,73.54871151313519,74.85528564453125,0.251181036233902,148.4021759033203
2,LOWRANK_4_8_R2,at_or_after_first_failure,state_norm,32,58230,32,58230,30790392165277.6,30981803890614.11,249079.58582451788,1252.7958355153835,4.485518051129944e+16
2,LOWRANK_4_8_R2,at_or_after_first_failure,residual_norm,32,58230,32,58230,2618789679304.1562,2635069687225.9907,11314.402337432253,56.02481351814001,3697519103697084.5
2,LOWRANK_4_8_R2,at_or_after_first_failure,native_state_norm,32,58230,32,58230,1556.4638805557977,1556.8400902027065,1600.943944569173,868.9108408169177,2354.3559204497305
2,LOWRANK_4_8_R2,at_or_after_first_failure,fp64_shadow_state_norm,32,58230,32,58230,1556.4635072481094,1556.8397167594185,1600.9435969226474,868.9108400455059,2354.354424104207
2,LOWRANK_4_8_R2,at_or_after_first_failure,state_scale_minimum,32,58230,32,58230,81.86180011988164,81.83907494675186,66.08610916137695,15.745140075683594,463.17462158203125
2,LOWRANK_4_8_R2,at_or_after_first_failure,state_scale_maximum,32,58230,32,58230,12779845048182.605,12859292637909.475,43707.173828125,134.8682403564453,1.878051544838963e+16
2,LOWRANK_4_8_R2,at_or_after_first_failure,residual_scale_minimum,32,58230,32,58230,4.625034599594119,4.623814004852935,3.965232014656067,0.0001183420536108315,45.2979850769043
2,LOWRANK_4_8_R2,at_or_after_first_failure,residual_scale_maximum,32,58230,32,58230,948550626624.7191,954447389455.3142,3622.299072265625,10.504566192626953,1336019370639360.0
2,LOWRANK_4_8_R2,at_or_after_first_failure,self_writeback_mse,32,58230,32,58230,4.778160803809998e+23,4.8078653240035965e+23,125062.12667776772,2.3262244648733454,2.8510137967333176e+27
2,LOWRANK_4_8_R2,at_or_after_first_failure,projection_leakage_mse,32,58230,32,58230,4.7778389017884175e+23,4.8075414208050986e+23,125053.1000849586,2.326199183533048,2.8509623152495907e+27
2,LOWRANK_4_8_R2,at_or_after_first_failure,native_state_error_l2,32,58230,32,58230,30790392165223.094,30981803890559.246,249024.61804391985,924.6046794418162,4.485518051129942e+16
2,LOWRANK_4_8_R2,at_or_after_first_failure,native_state_error_mse,32,58230,32,58230,2.378371278662439e+26,2.393156963065854e+26,20186608.27013816,278.28574649925247,6.549437560876484e+29
2,LOWRANK_4_8_R2,at_or_after_first_failure,fp64_shadow_error_l2,32,58230,32,58230,30790392165223.094,30981803890559.246,249024.61809594338,924.6046875482621,4.485518051129942e+16
2,LOWRANK_4_8_R2,at_or_after_first_failure,fp64_shadow_error_mse,32,58230,32,58230,2.378371278662439e+26,2.393156963065854e+26,20186608.27857226,278.28575137897764,6.549437560876484e+29
2,LOWRANK_4_8_R2,at_or_after_first_failure,gold_margin,32,58230,32,58230,-19.57474972706257,-19.61167086477254,-22.747679710388184,-188.4695816040039,135.88152313232422
2,LOWRANK_4_8_R2,at_or_after_first_failure,top_two_margin,32,58230,32,58230,25.774151088029193,25.76849341906155,20.652734696865082,0.0007238388061523438,135.88152313232422
