phase,model_seed,arm,n_sequences,source_family_size,joint_family_size,source_failure_upper_bound,source_json_sha256,horizon,first_failures,failure_probability,survival_probability,failure_upper_bound,survival_lower_bound
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8_TOP2,512,630,630,0.018271353414420138,9ee66a503c00ee889cc40bca663f34ce37dfa9f1c385b8ad2837d36bc40a491a,64,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8_TOP2,512,630,630,0.15127377050912902,9ee66a503c00ee889cc40bca663f34ce37dfa9f1c385b8ad2837d36bc40a491a,128,48,0.09375,0.90625,0.15127377050912902,0.848726229490871
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8_TOP2,512,630,630,0.8538065173177236,9ee66a503c00ee889cc40bca663f34ce37dfa9f1c385b8ad2837d36bc40a491a,256,405,0.791015625,0.208984375,0.8538065173177236,0.1461934826822764
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8_TOP2,512,630,630,0.9999998449839399,9ee66a503c00ee889cc40bca663f34ce37dfa9f1c385b8ad2837d36bc40a491a,512,511,0.998046875,0.001953125,0.9999998449839399,1.5501606009937774e-07
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8_TOP2,512,630,630,1.0,9ee66a503c00ee889cc40bca663f34ce37dfa9f1c385b8ad2837d36bc40a491a,1024,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8_TOP2,512,630,630,1.0,9ee66a503c00ee889cc40bca663f34ce37dfa9f1c385b8ad2837d36bc40a491a,2048,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8_TOP5,512,630,630,0.018271353414420138,a6cd917db8176d62391caf61df81a18ecf003b8e5b93543e4eeb726acc4c81bf,32,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8_TOP5,512,630,630,0.018271353414420138,a6cd917db8176d62391caf61df81a18ecf003b8e5b93543e4eeb726acc4c81bf,64,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8_TOP5,512,630,630,0.08974470119736469,a6cd917db8176d62391caf61df81a18ecf003b8e5b93543e4eeb726acc4c81bf,128,23,0.044921875,0.955078125,0.08974470119736469,0.9102552988026353
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8_TOP5,512,630,630,0.7776665262832272,a6cd917db8176d62391caf61df81a18ecf003b8e5b93543e4eeb726acc4c81bf,256,361,0.705078125,0.294921875,0.7776665262832272,0.2223334737167728
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8_TOP5,512,630,630,0.9999998449839399,a6cd917db8176d62391caf61df81a18ecf003b8e5b93543e4eeb726acc4c81bf,512,511,0.998046875,0.001953125,0.9999998449839399,1.5501606009937774e-07
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8_TOP5,512,630,630,1.0,a6cd917db8176d62391caf61df81a18ecf003b8e5b93543e4eeb726acc4c81bf,1024,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8_TOP5,512,630,630,1.0,a6cd917db8176d62391caf61df81a18ecf003b8e5b93543e4eeb726acc4c81bf,2048,512,1.0,0.0,1.0,0.0
